"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HasOptedOutOfEmail","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","Product_Areas__c","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
0018dbeb-02a5-4413-a3c2-343371343905,9fde7171-31cf-4c0e-848c-b95d7826f08b,"#N/A",(03) 8973 7103,"#N/A",Operations,"#N/A",jmanningcongagdo+7@gmail.com,"#N/A",(03) 8973 7103,Dorree,false,"#N/A","#N/A",Ebeneser,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,0429 358 528,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,(03) 8973 7103,"#N/A","#N/A","#N/A","Senior Director, Services",Prodly,"#N/A","#N/A",false,false
0023ebf1-1a65-452a-bec1-9a9e3de80e18,3ccab815-d7e7-41f3-b4fd-2330a1d72ef4,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+479@gmail.com,"#N/A","#N/A",Gipsy,false,"#N/A","#N/A",Paten,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","#N/A","Vice President, IT",Prodly,"#N/A","#N/A",false,false
002a04c3-c8b6-43d2-9584-6f2cbe318a68,1b4bfded-f98a-4ca5-a159-8c083e159842,"#N/A","#N/A","#N/A","#N/A",Dr. Sue Desmond-Hellmann leads the foundation's efforts to promote equity for all people around the world.,jmanningcongagdo+140@gmail.com,"#N/A","#N/A",Kerianne,false,"#N/A","#N/A",Keene,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(512) 931-5152,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0037c4d1-c5f0-4bfa-a65e-d1bac8b35f6c,f782f506-826c-47d4-95d2-69f4e289526c,"#N/A",(03) 6237 6024,"#N/A",Operations,"#N/A",jmanningcongagdo+97@gmail.com,"#N/A",(03) 6237 6024,Edith,false,"#N/A","#N/A",Sebastien,"#N/A",Docklands,Australia,"#N/A","#N/A","#N/A",3008,VIC,50 Kerra Way,0416 660 867,Docklands,Australia,"#N/A","#N/A","#N/A","#N/A",3008,VIC,50 Kerra Way,(03) 6237 6024,"#N/A","#N/A","#N/A","VP, Supply Chain",Prodly,"#N/A","#N/A",false,false
009fbf81-e1ac-43e4-a229-61abc9902857,7b95ea41-2644-477d-8f28-0155cf3cb67f,Jenny Smith,123 098 7654,1972-06-25,Manufacturing - Floor,"Mr. Griffith is senior vice president and chief financial officer of Marathon Petroleum Corporation. He is a member of the boards of directors of MPLX GP LLC and the Marathon Center for the Performing Arts, where he serves on the finance committee. Mr. Griffith is chair of the investment committee for the Boy Scouts of America Black Swamp Council and treasurer of Berry Boy Scouts Inc.",jmanningcongagdo+267@gmail.com,"#N/A",(303) 234-5678,Lorain,false,(555) 666-8888,"#N/A",Gaspar,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,555 Corporate Ave.,(303) 123-4567,Broomfield,USA,"#N/A","#N/A","#N/A","#N/A",80021,CO,390 Interlocken Crescent #500,(974) 230-5869,"#N/A","#N/A","#N/A",SVP and CFO,Prodly,"#N/A","#N/A",false,false
00dcc4e3-5ed6-49e7-9c4d-dc23e5033df1,1269b73b-8173-461c-be8d-4001e7a56f13,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+807@gmail.com,"#N/A","#N/A",Roxana,false,"#N/A","#N/A",Heindrick,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,32 Railway Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 4043,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
00fc03f0-62d9-43a2-b0ad-d243afc2efbd,02790e5c-867a-4d60-b207-f5f0dfab9d1d,"#N/A","#N/A","#N/A","#N/A","Susan began her career in Albertsons Denver Division while still in high school and worked her way up in the ranks proving her ability to lead, to execute and to bring teams together in one assignment after another in her 30+ years in the retail grocery business. Since March of 2015, Susan has led the Denver Division team after having successfully led our Boise-based Intermountain Division for the two prior years.",jmanningcongagdo+184@gmail.com,"#N/A","#N/A",Arlana,false,"#N/A","#N/A",Mortimer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(633) 209-5550,"#N/A","#N/A","#N/A",EVP Retail Operations,Prodly,"#N/A","#N/A",false,false
011d3a44-f074-488d-8708-198928242992,185fc0c9-6005-4fb7-8a86-3a035173bad4,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+439@gmail.com,"#N/A","#N/A",Andreana,false,"#N/A","#N/A",Morgun,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 3922,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0128d8fd-4ca8-4225-8163-24ef8588ec86,f782f506-826c-47d4-95d2-69f4e289526c,"#N/A",(03) 7790 6654,"#N/A",Operations,"#N/A",jmanningcongagdo+692@gmail.com,"#N/A",(03) 7790 6654,Jeana,false,"#N/A","#N/A",Benito,"#N/A",Docklands,Australia,"#N/A","#N/A","#N/A",3008,VIC,50 Kerra Way,0421 119 254,Docklands,Australia,"#N/A","#N/A","#N/A","#N/A",3008,VIC,50 Kerra Way,(03) 7790 6654,"#N/A","#N/A","#N/A",VP Operations,Prodly,"#N/A","#N/A",false,false
040d89bc-61d1-4045-bb44-228516552da4,b23afcaa-b2e3-486e-bdba-90304e8585d3,"#N/A","#N/A","#N/A","#N/A","John Mulligan is executive vice president and chief operating officer for Target and a member of its executive leadership team. His responsibilities include stores, Target’s global supply chain, merchandising operations, properties and flight services.",jmanningcongagdo+331@gmail.com,"#N/A","#N/A",Jocelyn,false,"#N/A","#N/A",Louis,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(553) 589-9669,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
